Info.ISIN,Info.CompanyDescription,Info.CompanyName,Info.Ticker,Info.Country,Info.List,Info.Industry,Info.ReportDate.Next,Stock.LatestPrice,Stock.Return.Act_1d,Stock.Return.Act_1w,Stock.Return.Act_1m,Stock.Return.Act_3m,Stock.Return.Act_6m,Stock.Return.Act_1y,Stock.Return.Act_3y,Stock.Return.Act_5y,Valuation.MarketCap,Valuation.P_E.Latest,Valuation.P_E.Avg_1y,Valuation.P_E.Avg_3y,Valuation.P_S.Latest,Valuation.P_S.Avg_1y,Valuation.P_S.Avg_3y,Valuation.P_FCF.Latest,Valuation.P_FCF.Avg_1y,Valuation.P_FCF.Avg_3y,TA.MA5_MA20,TA.MA20_MA70,TA.MA50_MA200,Strat.Graham,Profitability.ROC
SE0000112724,"Sca är ett globalt hygien- och skogsindustriföretag med försäljning i cirka 100 länder. Företaget utvecklar och producerar personliga hygienprodukter, mjukpapper, och skogsindustriprodukter. Några av Företagets varumärken är Tena, Tork och Libero. Sca är Europas största privata skogsägare med 2.6 miljoner hektar.",SCA B,SCA B,Sverige,Large Cap,Skog,2017-04-27,303,-0.00394481280818582,0.00932707451283932,0.0369609445333481,0.0926794558763504,0.233211249113083,0.142533883452415,0.60487288236618,1.9446063041687,212796.90625,38.8955192565917,31.8387393951416,30.6338996887207,1.79968798160552,1.57121396064758,1.53177297115325,28.1962203979492,41.708080291748,37.7032089233398,0.0149263143539429,0.0373553037643433,0.0943484306335449,3,0.0916787311434746
SE0003175660,,ScandBook,SBOK,Sverige,First North,Produktion,2017-05-11,12.25,,-0.0576923079788685,-0.160958915948868,0.0123966624960303,-0.0576923079788685,-0.131205707788467,-0.00809719692915678,-0.137323930859566,56.3132514953613,21.2747497558593,10.8442602157592,21.6042003631591,0.189875394105911,0.215849697589874,0.208393692970276,-6.40359878540039,-5.92872285842895,-4.66835498809814,0.00833499431610107,-0.0548694133758545,0.0153869390487671,2,0.0173963401466608
SE0005999760,,Scandi Standard,SCST,Sverige,Mid Cap,Konsumentprodukter,2017-05-11,55.5,0.00909090973436832,,0.0373831763863564,0.0521327033638954,0.0673076882958412,-0.0512820519506931,,,3296.53295898437,27.7264308929443,23.7773609161376,24.0568199157714,0.531356215476989,0.55678242444992,0.549808681011199,-98.6986083984375,-17.5147304534912,-83.1285781860351,0.0237710475921631,0.0133302211761475,-0.073670506477356,1,0.0862802714109421
SE0007640156,,Scandic Hotels,SHOT,Sverige,Mid Cap,"Hotell, restaurang & nöje",2017-05-10,110.5,0.00913241971284151,0.0160919539630413,0.0833333283662796,0.381249994039536,0.430420726537704,0.74703562259674,,,11379.83984375,12.0677995681762,13.3203401565551,21.4896202087402,0.836999297142028,0.600612878799438,0.596210420131683,11.7803802490234,10.3439598083496,10.8258399963378,0.0307619571685791,0.125646948814392,0.201860308647156,1,0.0922290906310081
SE0005768124,,ScandiDos,SDOS,Sverige,First North,Sjukvård,,5.84999990463256,-0.0168067067861557,0.0173912886530161,0.0833332911133766,0.357308566570282,0.282894730567932,0.125000014901161,-0.571428537368774,,147.063201904296,-9.7548770904541,-8.46232604980468,-7.72644519805908,2.98981809616088,2.75253009796142,2.7193911075592,-24.8753604888916,-10.9282999038696,-11.4720697402954,0.00821447372436523,0.138511419296265,0.121580012142658,1,-0.384828299283981
SE0009320294,,Scandinavian Airport & Road,SARS MTF,Sverige,NGM,Tjänster & Leverans,,6.75,-0.0357142835855484,0.730769217014312,0.6875,,,,,,,,,,,,,,,,0.295273303985596,-0.056815329939127,-0.0257064700126648,2,
DK0060042612,,Scandinavian Brake,SBS,Denmark,Small Cap,Återförsäljare,,31.3999996185302,,-0.0125786038115621,0.0194805320352316,0.162962958216667,0.167286247014999,0.359307318925858,-0.302222222089767,0.121428556740284,,,,,,,,,,,-0.0066603422164917,0.072813868522644,0.13762354850769,2,
SE0005877560,,Scandinavian Enviro,SES,Sverige,First North,Produktion,2017-05-04,0.730000019073486,,,-0.0135135008022189,,-0.0266666412353516,-0.57058823108673,,,84.9501037597656,-2.30939602851867,-2.78433895111083,-3.34142208099365,287.966400146484,347.41079711914,342.352386474609,-2.58316898345947,-3.00910592079162,-3.51261496543884,-0.0134589672088623,-0.000864505767822266,-0.0937688946723938,2,-0.286551296710968
DK0060068682,,Scandinavian Private,SPEAS,Denmark,Small Cap,Investmentbolag,,9200,,-0.00216919742524624,-0.0160427801311016,-0.00432900432497263,-0.163636356592178,-0.268098652362823,-0.535118758678436,-0.333333313465118,9.19999980926513,,,,,,,,,,-0.00173312425613403,-0.00575405359268188,-0.101147949695587,,
DK0060696300,,Scandinavian Tobacco,STG,Denmark,Large Cap,Konsumentprodukter,2017-05-18,107.699996948242,,0.0385728068649769,-0.140462934970856,-0.125811696052551,-0.0271002724766731,-0.0297297574579716,,,10770,16.0196304321289,11.7447004318237,5.33987808227539,1.6061919927597,1.15892899036407,0.535397410392761,9.6401720046997,8.14473915100097,3.21339106559753,-0.0855569243431091,-0.03925621509552,0.0196799039840698,3,0.076319620013237
FI4000029905,,Scanfil,SCL1V,Finland,Mid Cap,Elektronisk utrustning,2017-04-27,4,0.0309278033673763,0.0282776076346636,0.104972407221794,0.149425283074379,0.219512209296227,0.249999985098839,1.46913576126098,5.25488662719726,249.692001342773,32.8677101135253,687.987121582031,712.059814453125,0.498586297035217,0.402682095766068,0.465782999992371,11.5598096847534,16.8780403137207,7.57041311264038,0.00153374671936035,0.0662305355072021,0.0381922721862793,1,0.101801097393036
NO0010708068,,Scanship,SSHIP,Norge,Oslo Axess,Tjänster & Leverans,,1.53999996185302,,0.00653594126924872,0.00653594126924872,0.175572544336319,0.924999952316284,1,-0.405405402183533,,147.079193115234,,-1.10462403297424,1.69059705734252,857.105102539062,108.070701599121,286.434112548828,-10814.650390625,-1354.85302734375,-3603.32788085937,-0.0270959734916687,0.15318775177002,0.325002431869507,1,-0.128318592905998
