Bolagsnamn,Land,Lista,Bransch,Ticker,ISIN,Börsvärde,Aktiekurs,Utveck.  1d,Utveck.  1v,Utveck.  1m,Utveck.  3m,Utveck.  6m,Utveck.  1 år,Utveck.  3 år,Utveck.  5 år,P/E,P/E avg - 1 år,P/E avg - 3 år,P/S,P/S avg - 1 år,P/S - avg 3 år,P/FCF,P/FCF avg - 1 år,P/FCF avg - 3 år,MA(5)/MA(20),MA(20)/MA(70),MA(50)/MA(200),N. Rapport Datum,N. Rapport Dagar,Graham_Score
Lemminkäinen,Finland,Mid Cap,Byggnation,LEM1S,FI0009900336,436.5172,18.8,0.002666626,0.01621618,0.009125072,-0.00265258,0.01621618,0.4406129,0.3923759,0.1433436,12.29642,20.72523,20.08375,0.2493387,0.2032678,0.2053704,4.365172,3.100041,3.087249,0.02858388,-0.007196844,0.04678822,27/04/2017,,1
LeoVegas,Sverige,First North,Betting & Spel,LEO,SE0008091904,5059.775,50.75,0.02525253,0,0.3113695,0.2112171,0.3355263,0.3497341,,,25.037,4.401724,17.35369,3.400187,3.245666,2.052391,27.47286,32.84674,14.74325,0.1139156,0.08555889,0.1272644,03/05/2017,,2
Leroy Seafood,Norge,OBX,Livsmedel,LSG,NO0003096208,28227.58,473.8,0,0.05172028,0.1970692,0.0673575,0.04985597,0.1556097,1.193518,4.094624,9.507565,9.104944,9.896153,1.492479,1.383834,1.327879,-92.84901,-40.80935,7.085464,0.05262673,0.0198735,-0.02357024,11/05/2017,,6
Lexington,Sverige,First North,kläder & Textil,LEX,SE0006510640,160.392,32.8,-0.06285717,-0.1368421,-0.18,-0.1632653,-0.02089555,0.1118644,,,-289.7527,-87.80225,43.54113,0.5555798,0.6389195,0.6988739,106.9993,439.7599,-5.1506,-0.08940994,0.029248,0.169333,16/05/2017,,1
LIDDS,Sverige,First North,Läkemedel,LIDDS,SE0001958612,114.5625,6.5,-0.04411767,-0.02985072,-0.1156463,-0.06474818,-0.1390729,-0.1975309,,,-16.3522,-18.54993,-17.30478,,,,-5.371964,-7.606889,-7.390211,-0.01998526,-0.02485043,-0.009390056,11/05/2017,,2
LifeAir,Sverige,NGM,Sjukvård,LAIR MTF,SE0008963888,13.89885,4.89,0,0.08666664,-0.02200003,-0.1421053,-0.185,-0.04117648,-0.7426316,-0.8561764,-1.627504,-16.4446,-19.33054,11.2907,10.05126,9.240902,-1.655216,-14.09363,-13.6497,0.01343071,-0.07408822,-0.2098185,,,2
Lifeassays,Sverige,NGM,Läkemedel,LIFE B,SE0000819054,59.62835,0.036,-0.02702708,0,-0.1627908,-0.02702708,-0.3207547,-0.1,-0.9608696,,-3.103448,-3.110675,-3.450716,8.058974,8.354517,9.751884,-2.835125,-2.915009,-3.26336,-0.07575756,-0.01211691,-0.06412643,27/04/2017,,1
Lightlab,Sverige,First North,Produktion,LLSW B,SE0005126125,89.995,1,0.0309278,0.0309278,-0.01960783,-0.09909911,0,-0.2,-0.6296296,-0.9571861,-7.067138,-16.9602,-11.66756,6.953179,10.13247,9.736416,-3.813509,-9.160333,-5.604794,0.01097751,-0.05270231,-0.07555217,11/05/2017,,2
Lindab,Sverige,Mid Cap,Byggprodukter,LIAB,SE0001852419,6804.998,89.15,-0.02568304,-0.008893779,0.1458869,0.167649,0.1815773,0.2901593,0.1422165,0.742913,21.53486,18.25904,18.77113,0.8554366,0.7193804,0.7438461,15.64367,14.02965,19.65235,0.08374739,0.08356833,0.003430009,09/05/2017,,2
Link Mobility,Norge,OB Match,Kommunikation,LINK,NO0010219702,1176.202,122,0,-0.06153846,-0.08270676,-0.1408451,-0.192053,0.8141264,5.421053,,-234.21,-11.4893,0.2904453,1.589709,1.62819,1.381516,-12.30672,25.44689,-9.763317,-0.03956759,-0.0205521,-0.07939827,04/05/2017,,1
Litium,Sverige,Aktietorget,Kommunikation,LITI,SE0007387246,54.0626,8.2,0.01234561,-0.01796414,-0.05747126,-0.09890116,-0.1182796,,,,-10.98165,-5.490826,-3.660551,2.361844,1.180922,0.7872812,-8.799252,-4.399626,-2.933084,-0.02651173,-0.02928787,-0.01118261,04/05/2017,,1
Loomis,Sverige,Large Cap,Tjänster & Leverans,LOOM B,SE0002683557,24382.87,323.9,-0.02292611,-0.03110977,0.0654605,0.1761075,0.2914673,0.597928,0.6869791,2.701714,18.62715,16.01465,16.80153,1.430332,1.183066,1.221154,14.3008,18.87172,22.23322,0.02002454,0.09950124,0.122493,04/05/2017,,4
Lovisagruvan,Sverige,Aktietorget,Gruv & Metall,LOVI,SE0000418873,287.028,84,-0.02325581,-0.08446866,0.04347826,0.2923077,1.320442,1.8,1.906574,1.809365,20.50231,-5.300392,20.25839,6.883165,5.542715,5.059273,66.75069,7.198783,-63.05273,-0.02186316,0.1854306,0.4626838,20/04/2017,,3
Lucara Diamond,Sverige,Mid Cap,Gruv & Metall,LUC,CA54928Q1081,7339.238,19.2,-0.005181268,-0.08133966,-0.1028037,-0.1152074,-0.2066116,-0.2163265,0.6551724,1.666667,15.39572,11.12955,11.54632,2.993911,2.760242,2.783463,-13.78929,-4.288188,-7.402483,-0.03619134,0.0222404,-0.118562,02/05/2017,,3
Lucent Oil,Sverige,Aktietorget,Olja & Gas,LUCE,SE0001384850,3.23532,1.32,-0.0222222,-0.02941174,-0.12,-0.8140845,-0.7555556,-0.78,-0.5585284,-0.835,0.3371906,-0.9965568,9.607314,0.2190616,1.109954,1.115224,0.2006773,10.5814,17.16538,-0.04820943,-0.7167066,-0.3101154,,,3
Lundbeck,Denmark,Large Cap,Läkemedel,LUN,DK0010287234,66041.97,336.1,-0.0161007,0.000297637,-0.01147057,0.1682308,0.2745544,0.4145623,1.164198,1.862862,40.96932,52.596,24.94236,4.108365,3.209453,3.204353,20.9657,-51.58815,8.358341,0.003554702,0.07052338,0.1592947,10/05/2017,,1
Lundin Gold,Sverige,Mid Cap,Gruv & Metall,LUG,CA5503711080,4433.94,40.8,0.007407389,0.06806279,-0.002445044,0.02512563,0.06249994,0.09090903,,,-7.96735,-16.11583,-32.78521,,,,-6.045187,-5.002352,-4.247153,0.02288091,-0.01482052,0.0246104,10/05/2017,,1
Lundin Mining,Sverige,Large Cap,Gruv & Metall,LUMI SDB,SE0001134529,34297.67,47.23,-0.008189823,0.05683601,-0.04392716,-0.1633304,0.07831051,0.733211,0.3952733,0.71496,-6.532774,-3.571415,-6.649792,2.264321,1.795361,1.875619,8.812661,10.27445,8.997508,0.001425743,-0.09433812,0.0960952,26/04/2017,,3
Lundin Petroleum,Sverige,Large Cap,Olja & Gas,LUPE,SE0000825820,58512.35,171.9,-0.01715266,0.00174818,-0.07580648,-0.09763782,0.07977385,0.1316656,0.333592,0.2695717,-16.43843,-14.7075,-12.14004,4.672228,5.143713,5.673482,-75.39709,-30.43242,-33.79124,0.02104306,-0.06219208,0.01554048,03/05/2017,,1
Mackmyra,Sverige,First North,Konsumentprodukter,MACK B,SE0000731747,149.1369,12.9,-0.02641512,-0.03370792,0.1674208,0.3230769,0.3650793,0.3163265,0.03199997,-0.6653011,-6.513178,-4.422917,-4.645337,1.962173,1.56937,1.601995,-16.84211,-10.65221,-13.48314,0.09463525,0.1613774,0.1244723,11/05/2017,,2
Magseis,Norge,Oslo Axess,Olja & Gas,MSEIS,NO0010663669,535.1247,14.15,0,0.04044112,-0.02413796,-0.05033557,0.1791666,-0.05666669,,,-3.793261,-5.239806,-8.401877,1.075093,1.461323,1.435409,-3.408416,-3.929164,-6.461919,0.000532985,-0.04189557,0.08394993,,,2
Maha Energy,Sverige,First North,Olja & Gas,MAHA A,SE0008374383,509.8665,7.15,-0.006944405,-0.03378378,0.07518797,-0.09493671,-0.2704082,,,,-22.08835,-22.08835,,278.646,278.646,,-6.002419,-6.002419,,0.05179286,-0.03538632,-0.1518286,,,3
Malmbergs Elektriska,Sverige,Small Cap,Handel & Distribution,MEAB B,SE0000507659,1208,151,-0.00330033,0.02027027,-0.09580838,-0.08484848,0.01342282,0.04861111,0.4380952,2.408578,15.71934,16.13442,15.60879,1.800738,1.8131,1.809964,28.76191,21.12333,23.9135,-0.01443565,-0.04554004,0.03545415,20/04/2017,,3
Mantex,Sverige,First North,Produktion,MANTEX,SE0009663339,,4.34,-0.002298794,-0.04824557,,,,,,,,,,,,,,,,-0.003153145,,,,,2
