"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Aktiekurs";"Börsvärde";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"Kursutveck.";"P/E";"P/E";"P/E";"P/S";"P/S";"P/S";"P/FCF";"P/FCF";"P/FCF";"Medelvärde";"Medelvärde";"Medelvärde";"Info";"N. Rapport";"Graham"
"";"Land";"Lista";"Bransch";"Ticker";"ISIN";"Senaste";"Senaste";"Utveck.  1d";"Utveck.  1v";"Utveck.  1m";"Utveck.  3m";"Utveck.  6m";"Utveck.  1 år";"Utveck.  3 år";"Utveck.  5 år";"Senaste";"Snitt 1 år";"Snitt 3 år";"Senaste";"Snitt 1 år";"Snitt 3 år";"Senaste";"Snitt 1 år";"Snitt 3 år";"MA(5)/MA(20)";"MA(20)/MA(70)";"MA(50)/MA(200)";"N. Rapport";"Antal dagar";"Poäng"
"AIK Fotboll";"Sverige";"NGM";"Hotell, restaurang & nöje";"AIK B";"SE0000598278";1.82;39.74698;-0.08999997;-0.07614212;-0.1121951;-0.1374407;-0.3591549;0.3000001;0.3787879;0.1030303;0.6888199;-3.286839;-3.598138;0.1807453;0.2306964;0.2420244;2.196937;1.867097;-6.539582;-0.04752564;-0.0163179;0.000656724;"2017-05-09";"";2
"Aino Health";"Sverige";"First North";"Sjukvård";"AINO";"SE0009242555";15.9;"";-0.006250024;0.01273884;-0.0591716;-0.2205883;"";"";"";"";"";"";"";"";"";"";"";"";"";-0.03566509;-0.09533137;-0.1311757;"2017-05-12";"";2
"Aker BP";"Norge";"OBX";"Olja & Gas";"DETNOR";"NO0010345853";146.7;49546.02;0.004106713;0.005483229;0.04190337;-0.03550302;0.1398601;1;1.687;1.171169;78.55843;29.179;50.43449;3.152941;2.140072;1.99574;14.37284;2.887293;8.716424;0.02246225;-0.0009180903;0.03036523;"2017-04-28";"";1
"Aker Solutions";"Norge";"OBX";"Olja & Gas";"AKSO";"NO0010716582";45.1;12269.18;0.00534993;-0.01096491;-0.05845518;-0.03488126;0.2486157;0.5551723;"";"";215.2745;53.65151;84.76351;0.4800714;0.3701003;0.4155549;-14.03797;-2.736529;4.643976;-0.02621394;-0.04176509;0.153863;"2017-05-09";"";1
"AKVA Group";"Norge";"OB Match";"Livsmedel";"AKVA";"NO0003097503";70.5;1821.297;0.02173913;0.01438849;0.1701245;-0.07236842;-0.11875;0.1015625;3.607843;5.409091;52.2377;42.56685;43.93826;1.058544;0.9613028;0.930485;-11.5511;-28.17497;-32.8777;0.02216518;-0.04586768;-0.07329464;"2017-05-11";"";""
"Alcadon Group";"Sverige";"First North";"Kommunikation";"ALCA";"SE0008732218";38.3;626.2816;0.01861704;-0.0128866;0.007894717;0.09428569;0.4398496;"";"";"";24.37007;21.42081;14.28054;1.825894;1.638291;1.092194;-68.07409;-20.05946;-13.37298;-0.02537054;0.08855462;0.1818314;"2017-04-25";"";""
"Alelion Energy";"Sverige";"First North";"Produktion";"ALELIO";"SE0008348072";10;412.87;-0.0384615;-0.05660381;0.07526879;-0.1111111;-0.1935484;"";"";"";-22.51745;-11.25873;-7.505817;8.187479;4.09374;2.72916;-12.31235;-6.156175;-4.104116;0.03257644;-0.00316298;-0.1125726;"2017-05-08";"";1
"Alfa Laval";"Sverige";"Large Cap";"Produktion";"ALFA";"SE0000695876";173.4;72733.67;0.01403505;-0.01533227;0.001733032;0.06249998;0.2882614;0.395012;0.03522385;0.4224774;33.12131;24.36541;24.97855;2.045321;1.724683;1.755609;17.92794;14.60226;14.70369;-0.02145541;0.04873693;0.1384302;"2017-04-26";"";3
"Aligera B";"Sverige";"First North";"Energiproducenter";"ALIRA B";"SE0009470271";7.5;81.75;0.02040818;-0.03846156;-0.1017964;-0.3181818;"";"";"";"";-2.528402;-1.264201;-0.8428008;1.434311;0.7171556;0.4781037;-3.231225;-1.615613;-1.077075;-0.06704086;-0.1317011;-0.09893674;"";"";2
"Alimak";"Sverige";"Mid Cap";"Tjänster & Leverans";"ALIG";"SE0007158910";129.25;5599.886;0.009765625;-0.04259259;-0.03544776;-0.04436229;0.2398082;0.6895425;"";"";26.02227;20.89264;26.07221;2.362921;2.033105;2.155673;-6.282124;13.12273;12.03759;0.004480839;-0.006750345;0.1417465;"2017-04-12";"";1
